1,El Padrino,1972,Francis Ford Coppola,La saga de una familia mafiosa italoamericana.,Drama,https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg,1
2,El Caballero Oscuro,2008,Christopher Nolan,Batman enfrenta al Joker en una lucha por Gotham.,Acción,https://upload.wikimedia.org/wikipedia/en/8/8a/Dark_Knight.jpg,2
3,Pulp Fiction,1994,Quentin Tarantino,Historias entrelazadas de crimen y redención en Los Ángeles.,Crimen,https://upload.wikimedia.org/wikipedia/en/8/82/Pulp_Fiction_cover.jpg,1
4,La Lista de Schindler,1993,Steven Spielberg,Un empresario salva a judíos durante el Holocausto.,Histórico,https://upload.wikimedia.org/wikipedia/en/3/38/Schindler%27s_List_movie.jpg,2
6,Forrest Gump,1994,Robert Zemeckis,Un hombre con un bajo coeficiente intelectual vive momentos históricos.,Drama,https://upload.wikimedia.org/wikipedia/en/6/67/Forrest_Gump_poster.jpg,2
8,Titanic,1997,James Cameron,Historia de amor en el famoso transatlántico hundido.,Romance,https://upload.wikimedia.org/wikipedia/en/2/22/Titanic_poster.jpg,2
9,Inception,2010,Christopher Nolan,Un ladrón roba secretos a través de los sueños y planea un último golpe.,Ciencia ficción,https://upload.wikimedia.org/wikipedia/en/7/7e/Inception_ver3.jpg,1
10,Avengers: Endgame,2019,Anthony y Joe Russo,Los Vengadores intentan revertir el chasquido de Thanos.,Superhéroes,https://upload.wikimedia.org/wikipedia/en/0/0d/Avengers_Endgame_poster.jpg,2
11,Fight Club,1999,David Fincher,Un hombre insomne y un vendedor de jabón forman un club de lucha clandestino.,Drama,https://upload.wikimedia.org/wikipedia/en/f/fc/Fight_Club_poster.jpg,1
e746352b-f9fd-42bc-920c-ab5fa22679ac,Seven,1995,David Fincher,El veterano teniente Somerset está a punto de jubilarse y ser reemplazado por el ambicioso e impulsivo detective David Mills (Brad Pitt). Ambos tendrán que colaborar en la resolución de una serie de asesinatos cometidos por un psicópata que toma como base la relación de los siete pecados capitales: gula  pereza  soberbia  avaricia  envidia  lujuria e ira. , Crimen, https://pics.filmaffinity.com/seven_se7en-734875211-large.jpg,2
0978dcbe-d12f-4e34-85bd-c74fa80647e6,The Suicide Squad,2021,James Gunn,Harley Quinn  Bloodsport  Peacemaker y sus compañeros de la prisión de Belle Reve se unen al grupo de trabajo supersecreto y supersiniestro X en la lejana isla de Corto Maltese  que está llena de enemigos., Acción, https://static.posters.cz/image/750webp/109819.webp,2
db2d2716-aa89-4fa4-b29b-ed34e044025c,The Suicide Squad,2021,James Gunn,Harley Quinn  Bloodsport  Peacemaker y sus compañeros de la prisión de Belle Reve se unen al grupo de trabajo supersecreto y supersiniestro X en la lejana isla de Corto Maltese  que está llena de enemigos., Acción, https://m.media-amazon.com/images/I/81UwP1cO9gL._SL1500_.jpg,2
7df0c479-90e5-4aff-9b73-eac5d98e9d1c,Superman,2025,James Gunn,En un mundo cínico que ha perdido la fe en la bondad  Superman lucha por reconciliar su herencia kryptoniana con su crianza humana en Smallville como Clark Kent. Mientras protege a la humanidad  encarna la verdad  la justicia y el estilo americano  desafiando una era que considera estos valores obsoletos. Reinicio del universo DC en cine bajo la supervisión y dirección de James Gunn.,Superhéroes,https://pics.filmaffinity.com/superman-138926671-large.jpg,2
328f99ed-8e09-4222-83a5-ed3f2bcab9fe,The Suicide Squad,2021,James Gunn,El Escuadrón Suicida (en inglés: The Suicide Squad) es una película estadounidense de superhéroes basada en el equipo de antihéroes de DC Comics,Super Heroes,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjJANbVwHDE96Q8oyjVwnXLzLgSjso0PssnVrhukgpfC896q4ypur5jx6oCrqv669VuFBDCD3oRpPyM5H4DxjpBfOOK5uVubY9cPeMkn860RPlSJ9FJabkLGf8dkTe0TizkOEJ-ohaCAWqL/s1000/suicide-squad-movie-2016-poster.jpeg,1
